timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-08-02T17:33:12,codecarbon,74a9acd6-b1c0-44cb-b5b9-da8bdf5387d4,0.2614779472351074,8.191414405106941e-07,3.132736237118171e-06,42.5,35.75011767871707,11.91720485687256,3.086892432636685e-06,2.581668732348774e-06,8.407238154717333e-07,6.509284980457193e-06,Canada,CAN,,,,Windows-11-10.0.22631-SP0,3.12.1,2.5.0,20,13th Gen Intel(R) Core(TM) i5-13600K,1,1 x NVIDIA GeForce RTX 4070,,,31.77921295166016,machine,N,1.0
2024-08-02T18:09:37,codecarbon,742a1a35-358b-42e5-8ade-fbd55dca1d6d,0.0950930118560791,2.755640656185915e-07,2.897837183195447e-06,42.5,29.93549554771902,11.91720485687256,1.122625834412045e-06,7.822228478282511e-07,2.8491360394866665e-07,2.189762286188963e-06,Canada,CAN,,,,Windows-11-10.0.22631-SP0,3.12.1,2.5.0,20,13th Gen Intel(R) Core(TM) i5-13600K,1,1 x NVIDIA GeForce RTX 4070,,,31.77921295166016,machine,N,1.0
2024-08-02T18:10:33,codecarbon,73aa8efc-1fa8-42f3-9a4d-ace641ede942,0.1291966438293457,3.138205052085689e-07,2.429014376124899e-06,42.5,16.796047440376604,11.91720485687256,1.5252381563186648e-06,5.791671300325874e-07,3.8936074731452673e-07,2.4937660336657786e-06,Canada,CAN,,,,Windows-11-10.0.22631-SP0,3.12.1,2.5.0,20,13th Gen Intel(R) Core(TM) i5-13600K,1,1 x NVIDIA GeForce RTX 4070,,,31.77921295166016,machine,N,1.0
2024-08-02T18:11:33,codecarbon,27801c7a-a154-4bc3-b724-2804e5fa0363,0.4177355766296386,1.191294237845046e-06,2.8517902340437686e-06,42.5,27.71178435388864,11.91720485687256,4.931600557433234e-06,3.1886136622194527e-06,1.3463727532581516e-06,9.46658697291084e-06,Canada,CAN,,,,Windows-11-10.0.22631-SP0,3.12.1,2.5.0,20,13th Gen Intel(R) Core(TM) i5-13600K,1,1 x NVIDIA GeForce RTX 4070,,,31.77921295166016,machine,N,1.0
2024-08-02T18:12:25,codecarbon,d639b79a-d279-4057-a658-f0137db64e73,0.1097214221954345,2.39464265574834e-07,2.182475042551881e-06,42.5,9.133355709613262,11.91720485687256,1.2953223453627694e-06,2.7583355399762866e-07,3.317403163293875e-07,1.9028962156897853e-06,Canada,CAN,,,,Windows-11-10.0.22631-SP0,3.12.1,2.5.0,20,13th Gen Intel(R) Core(TM) i5-13600K,1,1 x NVIDIA GeForce RTX 4070,,,31.77921295166016,machine,N,1.0
2024-08-02T18:13:11,codecarbon,ecd272a4-21fa-4904-86d1-40c71195c632,0.1871798038482666,4.7814646817123e-07,2.55447680968204e-06,42.5,19.47291606309679,11.91720485687256,2.209761573208704e-06,1.0016674680812798e-06,5.88148748090589e-07,3.799577789380572e-06,Canada,CAN,,,,Windows-11-10.0.22631-SP0,3.12.1,2.5.0,20,13th Gen Intel(R) Core(TM) i5-13600K,1,1 x NVIDIA GeForce RTX 4070,,,31.77921295166016,machine,N,1.0
2024-08-02T18:14:13,codecarbon,983d37f3-9c14-4977-ad35-aa5b797c1dd3,0.5143718719482422,1.1962400578730045e-06,2.3256327243208467e-06,42.5,12.571150737165054,11.91720485687256,6.072445710500081e-06,1.7769458660055193e-06,1.6564972195482142e-06,9.505888796053816e-06,Canada,CAN,,,,Windows-11-10.0.22631-SP0,3.12.1,2.5.0,20,13th Gen Intel(R) Core(TM) i5-13600K,1,1 x NVIDIA GeForce RTX 4070,,,31.77921295166016,machine,N,1.0
2024-08-02T18:15:30,codecarbon,0b3bd13e-9f31-49b8-a131-1c2460abe808,0.4246933460235595,1.1321359448403135e-06,2.665772740356307e-06,42.5,22.14815765215534,11.91720485687256,5.013740890555913e-06,2.606668751958807e-06,1.3760775782884594e-06,8.996487220803179e-06,Canada,CAN,,,,Windows-11-10.0.22631-SP0,3.12.1,2.5.0,20,13th Gen Intel(R) Core(TM) i5-13600K,1,1 x NVIDIA GeForce RTX 4070,,,31.77921295166016,machine,N,1.0
2024-08-04T11:15:25,codecarbon,44da35ff-1dc9-4a24-912c-eb87dcdb4efe,20.70811653137207,5.7808576621680376e-05,2.7915902701292227e-06,42.5,13.558553140978027,11.91720485687256,0.000244470820162,7.796589570574497e-05,0.000136937552037,0.0004593742679048,Canada,CAN,,,,Windows-11-10.0.22631-SP0,3.12.1,2.5.0,20,13th Gen Intel(R) Core(TM) i5-13600K,1,1 x NVIDIA GeForce RTX 4070,,,31.77921295166016,machine,N,1.0
2024-08-04T11:16:47,codecarbon,7f792ff1-63a1-49b5-be04-42b89eb488d1,0.2568089962005615,5.986366242461794e-07,2.331057841052651e-06,42.5,12.665848178978026,11.91720485687256,3.0317728718121846e-06,9.000007192838666e-07,8.252759173842607e-07,4.757049508480312e-06,Canada,CAN,,,,Windows-11-10.0.22631-SP0,3.12.1,2.5.0,20,13th Gen Intel(R) Core(TM) i5-13600K,1,1 x NVIDIA GeForce RTX 4070,,,31.77921295166016,machine,N,1.0
2024-08-04T11:18:28,codecarbon,18e2f72c-1fe4-469a-a804-597b29904edc,0.4042901992797851,1.0086925348529874e-06,2.494971524538321e-06,42.5,17.250636274050013,11.91720485687256,4.772870408164131e-06,1.932501545898191e-06,1.3101755964612496e-06,8.015547550523572e-06,Canada,CAN,,,,Windows-11-10.0.22631-SP0,3.12.1,2.5.0,20,13th Gen Intel(R) Core(TM) i5-13600K,1,1 x NVIDIA GeForce RTX 4070,,,31.77921295166016,machine,N,1.0
2024-08-04T11:21:59,codecarbon,80a5e07c-ce36-41fd-acea-a7c8835536c6,0.11592674255371094,2.8796992781738754e-07,2.484068140567013e-06,42.5,17.672753339721208,11.91720485687256,1.3685795995924207e-06,5.641671179112961e-07,3.555984122414202e-07,2.288345129745137e-06,Canada,CAN,,,,Windows-11-10.0.22631-SP0,3.12.1,2.5.0,20,13th Gen Intel(R) Core(TM) i5-13600K,1,1 x NVIDIA GeForce RTX 4070,,,31.779212951660156,machine,N,1.0
